sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[ 188s] threads: 1, tps: 50.01, reads: 700.10, writes: 0.00, response time: 22.50ms (95%), errors: 0.00, reconnects:  0.00
[ 189s] threads: 1, tps: 51.00, reads: 709.95, writes: 0.00, response time: 21.77ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 49.00, reads: 695.02, writes: 0.00, response time: 22.43ms (95%), errors: 0.00, reconnects:  0.00
[ 191s] threads: 1, tps: 50.00, reads: 699.93, writes: 0.00, response time: 22.80ms (95%), errors: 0.00, reconnects:  0.00
[ 192s] threads: 1, tps: 52.01, reads: 728.09, writes: 0.00, response time: 22.08ms (95%), errors: 0.00, reconnects:  0.00
[ 193s] threads: 1, tps: 50.00, reads: 702.96, writes: 0.00, response time: 21.88ms (95%), errors: 0.00, reconnects:  0.00
[ 194s] threads: 1, tps: 52.00, reads: 726.02, writes: 0.00, response time: 21.27ms (95%), errors: 0.00, reconnects:  0.00
[ 195s] threads: 1, tps: 52.00, reads: 727.97, writes: 0.00, response time: 21.55ms (95%), errors: 0.00, reconnects:  0.00
[ 196s] threads: 1, tps: 51.00, reads: 713.05, writes: 0.00, response time: 21.30ms (95%), errors: 0.00, reconnects:  0.00
[ 197s] threads: 1, tps: 49.00, reads: 687.96, writes: 0.00, response time: 22.35ms (95%), errors: 0.00, reconnects:  0.00
[ 198s] threads: 1, tps: 49.00, reads: 681.02, writes: 0.00, response time: 22.25ms (95%), errors: 0.00, reconnects:  0.00
[ 199s] threads: 1, tps: 51.99, reads: 721.93, writes: 0.00, response time: 21.50ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1, tps: 51.01, reads: 723.09, writes: 0.00, response time: 22.04ms (95%), errors: 0.00, reconnects:  0.00
[ 201s] threads: 1, tps: 52.00, reads: 727.96, writes: 0.00, response time: 20.99ms (95%), errors: 0.00, reconnects:  0.00
