sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[ 143s] threads: 1, tps: 290.00, reads: 4057.06, writes: 0.00, response time: 3.92ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 1, tps: 277.00, reads: 3880.97, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[ 145s] threads: 1, tps: 286.99, reads: 4017.93, writes: 0.00, response time: 3.90ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 1, tps: 288.00, reads: 4025.01, writes: 0.00, response time: 3.88ms (95%), errors: 0.00, reconnects:  0.00
[ 147s] threads: 1, tps: 285.01, reads: 3987.09, writes: 0.00, response time: 3.89ms (95%), errors: 0.00, reconnects:  0.00
[ 148s] threads: 1, tps: 280.99, reads: 3940.93, writes: 0.00, response time: 4.02ms (95%), errors: 0.00, reconnects:  0.00
[ 149s] threads: 1, tps: 281.00, reads: 3932.01, writes: 0.00, response time: 3.86ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1, tps: 283.00, reads: 3966.98, writes: 0.00, response time: 3.87ms (95%), errors: 0.00, reconnects:  0.00
[ 151s] threads: 1, tps: 288.00, reads: 4029.07, writes: 0.00, response time: 3.77ms (95%), errors: 0.00, reconnects:  0.00
[ 152s] threads: 1, tps: 276.00, reads: 3862.95, writes: 0.00, response time: 4.16ms (95%), errors: 0.00, reconnects:  0.00
[ 153s] threads: 1, tps: 284.96, reads: 3980.48, writes: 0.00, response time: 4.12ms (95%), errors: 0.00, reconnects:  0.00
[ 154s] threads: 1, tps: 288.04, reads: 4037.53, writes: 0.00, response time: 3.73ms (95%), errors: 0.00, reconnects:  0.00
[ 155s] threads: 1, tps: 285.00, reads: 3996.05, writes: 0.00, response time: 3.85ms (95%), errors: 0.00, reconnects:  0.00
[ 156s] threads: 1, tps: 294.99, reads: 4117.93, writes: 0.00, response time: 3.78ms (95%), errors: 0.00, reconnects:  0.00
[ 157s] threads: 1, tps: 288.96, reads: 4050.45, writes: 0.00, response time: 4.03ms (95%), errors: 0.00, reconnects:  0.00
[ 158s] threads: 1, tps: 279.04, reads: 3906.53, writes: 0.00, response time: 3.90ms (95%), errors: 0.00, reconnects:  0.00
[ 159s] threads: 1, tps: 277.01, reads: 3877.07, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1, tps: 287.99, reads: 4030.89, writes: 0.00, response time: 3.80ms (95%), errors: 0.00, reconnects:  0.00
[ 161s] threads: 1, tps: 282.98, reads: 3959.68, writes: 0.00, response time: 4.03ms (95%), errors: 0.00, reconnects:  0.00
[ 162s] threads: 1, tps: 290.03, reads: 4061.39, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[ 163s] threads: 1, tps: 278.00, reads: 3904.02, writes: 0.00, response time: 4.02ms (95%), errors: 0.00, reconnects:  0.00
[ 164s] threads: 1, tps: 285.00, reads: 3981.96, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[ 165s] threads: 1, tps: 287.98, reads: 4039.71, writes: 0.00, response time: 3.87ms (95%), errors: 0.00, reconnects:  0.00
[ 166s] threads: 1, tps: 289.02, reads: 4042.29, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[ 167s] threads: 1, tps: 285.00, reads: 3991.05, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[ 168s] threads: 1, tps: 285.00, reads: 3991.96, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[ 169s] threads: 1, tps: 264.00, reads: 3685.96, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1, tps: 281.00, reads: 3932.04, writes: 0.00, response time: 3.91ms (95%), errors: 0.00, reconnects:  0.00
[ 171s] threads: 1, tps: 280.00, reads: 3922.03, writes: 0.00, response time: 3.87ms (95%), errors: 0.00, reconnects:  0.00
[ 172s] threads: 1, tps: 288.00, reads: 4040.96, writes: 0.00, response time: 3.89ms (95%), errors: 0.00, reconnects:  0.00
[ 173s] threads: 1, tps: 290.96, reads: 4061.48, writes: 0.00, response time: 3.73ms (95%), errors: 0.00, reconnects:  0.00
[ 174s] threads: 1, tps: 289.04, reads: 4054.56, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[ 175s] threads: 1, tps: 290.00, reads: 4052.00, writes: 0.00, response time: 4.08ms (95%), errors: 0.00, reconnects:  0.00
[ 176s] threads: 1, tps: 293.00, reads: 4105.98, writes: 0.00, response time: 3.76ms (95%), errors: 0.00, reconnects:  0.00
[ 177s] threads: 1, tps: 284.96, reads: 3999.43, writes: 0.00, response time: 3.89ms (95%), errors: 0.00, reconnects:  0.00
[ 178s] threads: 1, tps: 280.04, reads: 3913.58, writes: 0.00, response time: 4.15ms (95%), errors: 0.00, reconnects:  0.00
[ 179s] threads: 1, tps: 281.00, reads: 3939.96, writes: 0.00, response time: 3.94ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1, tps: 274.00, reads: 3836.03, writes: 0.00, response time: 4.05ms (95%), errors: 0.00, reconnects:  0.00
[ 181s] threads: 1, tps: 279.98, reads: 3917.68, writes: 0.00, response time: 3.92ms (95%), errors: 0.00, reconnects:  0.00
[ 182s] threads: 1, tps: 281.02, reads: 3924.28, writes: 0.00, response time: 3.99ms (95%), errors: 0.00, reconnects:  0.00
[ 183s] threads: 1, tps: 274.00, reads: 3838.06, writes: 0.00, response time: 4.13ms (95%), errors: 0.00, reconnects:  0.00
[ 184s] threads: 1, tps: 263.99, reads: 3695.91, writes: 0.00, response time: 4.38ms (95%), errors: 0.00, reconnects:  0.00
[ 185s] threads: 1, tps: 283.97, reads: 3985.54, writes: 0.00, response time: 3.85ms (95%), errors: 0.00, reconnects:  0.00
[ 186s] threads: 1, tps: 281.03, reads: 3931.48, writes: 0.00, response time: 4.12ms (95%), errors: 0.00, reconnects:  0.00
[ 187s] threads: 1, tps: 277.01, reads: 3873.08, writes: 0.00, response time: 3.88ms (95%), errors: 0.00, reconnects:  0.00
[ 188s] threads: 1, tps: 290.00, reads: 4059.95, writes: 0.00, response time: 3.81ms (95%), errors: 0.00, reconnects:  0.00
[ 189s] threads: 1, tps: 278.00, reads: 3890.97, writes: 0.00, response time: 4.13ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1, tps: 282.00, reads: 3956.98, writes: 0.00, response time: 3.93ms (95%), errors: 0.00, reconnects:  0.00
[ 191s] threads: 1, tps: 284.00, reads: 3964.05, writes: 0.00, response time: 3.90ms (95%), errors: 0.00, reconnects:  0.00
[ 192s] threads: 1, tps: 284.00, reads: 3975.95, writes: 0.00, response time: 3.76ms (95%), errors: 0.00, reconnects:  0.00
[ 193s] threads: 1, tps: 288.96, reads: 4058.49, writes: 0.00, response time: 3.74ms (95%), errors: 0.00, reconnects:  0.00
[ 194s] threads: 1, tps: 281.04, reads: 3931.51, writes: 0.00, response time: 4.00ms (95%), errors: 0.00, reconnects:  0.00
[ 195s] threads: 1, tps: 282.00, reads: 3940.06, writes: 0.00, response time: 3.97ms (95%), errors: 0.00, reconnects:  0.00
[ 196s] threads: 1, tps: 286.00, reads: 4010.94, writes: 0.00, response time: 3.99ms (95%), errors: 0.00, reconnects:  0.00
[ 197s] threads: 1, tps: 289.96, reads: 4057.46, writes: 0.00, response time: 3.80ms (95%), errors: 0.00, reconnects:  0.00
[ 198s] threads: 1, tps: 292.03, reads: 4084.48, writes: 0.00, response time: 3.80ms (95%), errors: 0.00, reconnects:  0.00
